"customer_key","customer_number","customer_name","age","age_group","customer_segment","last_order_date","recency","total_order","total_sales","total_quantity","total_product","lifespan","avg_order","avg_monthly_spend"
41,"AW00011040","Jesse Murphy",42,"40-49","New","2013-04-03",147,1,2351.0,3.0,3,0,2351.0,2351.0
42,"AW00011041","Amanda Carter",42,"40-49","New","2013-01-14",149,1,2381.0,3.0,3,0,2381.0,2381.0
43,"AW00011042","Megan Sanchez",42,"40-49","New","2013-10-17",140,2,3112.0,3.0,3,8,1556.0,389.0
44,"AW00011043","Nathan Simmons",43,"40-49","New","2013-08-18",142,2,48.0,3.0,3,3,24.0,16.0
45,"AW00011044","Adam Flores",70,"50 and above","VIP","2013-11-08",139,3,6515.0,7.0,7,32,2171.6667,204.0
46,"AW00011045","Leonard Nara",69,"50 and above","New","2013-10-29",140,2,115.0,4.0,4,6,57.5,19.0
47,"AW00011046","Christine Yuan",69,"50 and above","VIP","2013-11-12",139,3,6616.0,6.0,6,33,2205.3333,200.0
48,"AW00011047","Jaclyn Lu",69,"50 and above","VIP","2013-11-19",139,3,6582.0,4.0,4,33,2194.0,199.0
49,"AW00011048","Jeremy Powell",69,"50 and above","VIP","2013-12-25",138,3,6498.0,8.0,8,34,2166.0,191.0
50,"AW00011049","Carol Rai",39,"30-39","New","2013-10-29",140,2,81.0,5.0,5,7,40.5,12.0
51,"AW00011050","Alan Zheng",68,"50 and above","VIP","2013-11-19",139,3,5007.0,6.0,6,32,1669.0,156.0
52,"AW00011051","Daniel Johnson",68,"50 and above","New","2014-01-01",138,2,124.0,5.0,5,0,62.0,124.0
53,"AW00011052","Heidi Lopez",68,"50 and above","VIP","2013-05-27",145,3,8131.0,7.0,7,27,2710.3333,301.0
54,"AW00011053","Ana Price",39,"30-39","New","2013-01-17",149,1,2330.0,2.0,2,0,2330.0,2330.0
55,"AW00011054","Deanna Munoz",67,"50 and above","VIP","2013-05-30",145,3,8223.0,6.0,6,27,2741.0,305.0
56,"AW00011055","Gilbert Raje",67,"50 and above","VIP","2013-06-07",144,3,8168.0,8.0,8,28,2722.6667,292.0
57,"AW00011056","Michele Nath",66,"50 and above","VIP","2013-05-31",145,3,8207.0,8.0,8,27,2735.6667,304.0
58,"AW00011057","Carl Andersen",55,"50 and above","VIP","2013-05-21",145,3,8088.0,4.0,4,26,2696.0,311.0
59,"AW00011058","Marc Diaz",60,"50 and above","VIP","2013-06-04",145,3,8248.0,6.0,6,26,2749.3333,317.0
60,"AW00011059","Ashlee Andersen",65,"50 and above","New","2013-03-16",147,3,117.0,7.0,6,0,39.0,117.0
61,"AW00011060","Jon Zhou",65,"50 and above","VIP","2013-06-25",144,3,8153.0,6.0,6,27,2717.6667,302.0
62,"AW00011061","Todd Gao",49,"40-49","VIP","2013-06-14",144,3,8129.0,6.0,6,27,2709.6667,301.0
63,"AW00011062","Noah Powell",44,"40-49","New","2013-01-07",149,1,2352.0,3.0,3,0,2352.0,2352.0
64,"AW00011063","Angela Murphy",44,"40-49","New","2013-01-12",149,1,2373.0,5.0,5,0,2373.0,2373.0
65,"AW00011064","Chase Reed",44,"40-49","New","2013-01-25",149,1,2305.0,2.0,2,0,2305.0,2305.0
66,"AW00011065","Jessica Henderson",46,"40-49","New","2014-01-10",137,2,202.0,5.0,4,11,101.0,18.0
67,"AW00011066","Grace Butler",46,"40-49","New","2013-09-19",141,2,81.0,5.0,5,3,40.5,27.0
68,"AW00011067","Caleb Carter",43,"40-49","New","2014-01-12",137,2,105.0,6.0,6,4,52.5,26.0
69,"AW00011068","Tiffany Liang",58,"50 and above","New","2013-10-08",140,3,113.0,9.0,8,5,37.6667,23.0
70,"AW00011069","Carolyn Navarro",58,"50 and above","VIP","2013-06-04",145,3,8104.0,3.0,3,25,2701.3333,324.0
71,"AW00011070","Willie Raji",64,"50 and above","VIP","2013-06-26",144,3,8165.0,10.0,9,25,2721.6667,327.0
72,"AW00011071","Linda Serrano",64,"50 and above","New","2013-12-01",139,3,110.0,7.0,6,9,36.6667,12.0
73,"AW00011072","Casey Luo",64,"50 and above","VIP","2013-06-15",144,3,8194.0,7.0,7,26,2731.3333,315.0
74,"AW00011073","Amy Ye",63,"50 and above","New","2013-08-21",142,3,192.0,10.0,9,4,64.0,48.0
75,"AW00011074","Levi Arun",63,"50 and above","New","2013-05-27",145,3,94.0,7.0,7,2,31.3333,47.0
76,"AW00011075","Felicia Jimenez",62,"50 and above","VIP","2013-06-24",144,3,8068.0,5.0,5,25,2689.3333,323.0
77,"AW00011076","Blake Anderson",62,"50 and above","VIP","2013-06-21",144,3,8159.0,4.0,4,26,2719.6667,314.0
78,"AW00011077","Leah Ye",62,"50 and above","VIP","2013-06-12",144,3,8169.0,5.0,5,25,2723.0,327.0
79,"AW00011078","Gina Martin",40,"40-49","New","2014-01-28",137,17,912.0,31.0,23,11,53.6471,83.0
80,"AW00011079","Donald Gonzalez",55,"50 and above","New","2014-01-01",138,3,58.0,5.0,5,9,19.3333,6.0
81,"AW00011080","Damien Chander",60,"50 and above","VIP","2013-06-23",144,3,8204.0,7.0,7,26,2734.6667,316.0
82,"AW00011081","Savannah Baker",53,"50 and above","New","2013-04-13",146,2,104.0,5.0,5,2,52.0,52.0
83,"AW00011082","Angela Butler",53,"50 and above","New","2013-11-06",139,2,3110.0,6.0,6,9,1555.0,346.0
84,"AW00011083","Alyssa Cox",48,"40-49","New","2013-11-08",139,2,3137.0,5.0,5,10,1568.5,314.0
85,"AW00011084","Lucas Phillips",62,"50 and above","New","2013-11-21",139,2,3078.0,5.0,5,10,1539.0,308.0
86,"AW00011085","Emily Johnson",62,"50 and above","New","2014-01-08",137,2,129.0,5.0,5,1,64.5,129.0
87,"AW00011086","Ryan Brown",62,"50 and above","New","2013-12-21",138,2,153.0,6.0,6,5,76.5,31.0
88,"AW00011087","Tamara Liang",62,"50 and above","New","2013-08-09",142,2,200.0,4.0,4,5,100.0,40.0
89,"AW00011088","Hunter Davis",62,"50 and above","New","2013-11-12",139,2,3176.0,7.0,7,9,1588.0,353.0
90,"AW00011089","Abigail Price",62,"50 and above","New","2013-11-18",139,2,3188.0,7.0,7,10,1594.0,319.0
91,"AW00011090","Trevor Bryant",56,"50 and above","VIP","2013-11-21",139,3,6703.0,6.0,6,27,2234.3333,248.0
92,"AW00011091","Dalton Perez",62,"50 and above","New","2014-01-08",137,28,1186.0,59.0,25,11,42.3571,108.0
93,"AW00011092","Cheryl Diaz",52,"50 and above","VIP","2013-06-21",144,3,8110.0,5.0,5,26,2703.3333,312.0
94,"AW00011093","Aimee He",46,"40-49","VIP","2013-06-08",144,3,8180.0,7.0,7,26,2726.6667,315.0
95,"AW00011094","Cedric Ma",57,"50 and above","New","2014-01-11",137,3,236.0,8.0,8,9,78.6667,26.0
96,"AW00011095","Chad Kumar",57,"50 and above","VIP","2013-06-25",144,3,8158.0,7.0,7,26,2719.3333,314.0
97,"AW00011096","Andr├®s Anand",57,"50 and above","VIP","2013-07-30",143,3,8063.0,4.0,4,27,2687.6667,299.0
98,"AW00011097","Edwin Nara",52,"50 and above","VIP","2013-07-24",143,3,8099.0,5.0,5,27,2699.6667,300.0
99,"AW00011098","Mallory Rubio",58,"50 and above","New","2013-10-16",140,3,89.0,4.0,4,8,29.6667,11.0
100,"AW00011099","Adam Ross",58,"50 and above","VIP","2013-07-01",144,3,8216.0,9.0,8,26,2738.6667,316.0
101,"AW00011100","Latasha Navarro",59,"50 and above","VIP","2013-08-07",142,3,8172.0,7.0,7,27,2724.0,303.0
102,"AW00011101","Abby Sai",54,"50 and above","VIP","2013-06-29",144,3,8262.0,7.0,7,26,2754.0,318.0
103,"AW00011102","Julia Nelson",54,"50 and above","New","2013-12-09",138,3,103.0,5.0,5,4,34.3333,26.0
104,"AW00011103","Cassie Chande",44,"40-49","VIP","2013-06-06",144,3,8182.0,8.0,8,25,2727.3333,327.0
105,"AW00011104","Edgar Sara",50,"50 and above","VIP","2013-06-15",144,3,8173.0,6.0,6,25,2724.3333,327.0
106,"AW00011105","Candace Fernandez",55,"50 and above","VIP","2013-06-05",145,3,8096.0,5.0,5,24,2698.6667,337.0
107,"AW00011106","Jessie Liu",55,"50 and above","VIP","2013-06-15",144,3,8079.0,3.0,3,24,2693.0,337.0
108,"AW00011107","Bianca Lin",49,"40-49","VIP","2013-06-21",144,3,8171.0,6.0,6,25,2723.6667,327.0
109,"AW00011108","Kari Alvarez",56,"50 and above","VIP","2013-06-23",144,3,8124.0,5.0,5,25,2708.0,325.0
110,"AW00011109","Ruben Kapoor",45,"40-49","VIP","2013-06-24",144,3,8245.0,8.0,8,25,2748.3333,330.0
111,"AW00011110","Curtis Yang",57,"50 and above","VIP","2013-08-20",142,3,8093.0,5.0,5,27,2697.6667,300.0
112,"AW00011111","Meredith Gutierrez",57,"50 and above","VIP","2013-08-22",142,3,8137.0,8.0,8,27,2712.3333,301.0
113,"AW00011112","Crystal Wang",57,"50 and above","VIP","2013-09-02",142,3,8295.0,6.0,6,27,2765.0,307.0
114,"AW00011113","Micheal Blanco",52,"50 and above","New","2013-04-21",146,3,110.0,7.0,7,2,36.6667,55.0
115,"AW00011114","Leslie Moreno",57,"50 and above","New","2013-12-26",138,3,123.0,7.0,6,9,41.0,14.0
116,"AW00011115","Alvin Cai",57,"50 and above","New","2014-01-02",138,3,114.0,6.0,6,10,38.0,11.0
117,"AW00011116","Clinton Carlson",46,"40-49","New","2013-10-16",140,3,149.0,7.0,7,7,49.6667,21.0
118,"AW00011117","April Deng",58,"50 and above","VIP","2013-06-25",144,3,8185.0,8.0,8,25,2728.3333,327.0
119,"AW00011118","Alvin Zeng",62,"50 and above","New","2014-01-26",137,3,124.0,8.0,6,6,41.3333,21.0
120,"AW00011119","Evan James",84,"50 and above","New","2013-11-23",139,2,85.0,4.0,4,9,42.5,9.0
121,"AW00011120","Beth Jim├®nez",83,"50 and above","VIP","2013-09-19",141,3,8242.0,10.0,10,28,2747.3333,294.0
122,"AW00011121","Orlando Suarez",59,"50 and above","New","2013-11-04",140,3,58.0,6.0,5,4,19.3333,15.0
123,"AW00011122","Byron Vazquez",59,"50 and above","New","2013-08-22",142,3,43.0,3.0,3,6,14.3333,7.0
124,"AW00011123","Philip Alvarez",59,"50 and above","New","2014-01-25",137,3,150.0,8.0,7,9,50.0,17.0
125,"AW00011124","Ross Jordan",56,"50 and above","VIP","2013-06-18",144,3,8129.0,6.0,6,25,2709.6667,325.0
126,"AW00011125","Dana Navarro",63,"50 and above","New","2013-07-03",144,3,79.0,7.0,7,5,26.3333,16.0
127,"AW00011126","Shaun Carson",70,"50 and above","Regular","2013-11-03",140,3,4971.0,8.0,7,29,1657.0,171.0
128,"AW00011127","Jan Edwards",44,"40-49","New","2013-10-01",141,2,44.0,3.0,3,5,22.0,9.0
129,"AW00011128","Samantha Long",44,"40-49","New","2013-08-12",142,2,144.0,7.0,7,1,72.0,144.0
130,"AW00011129","Julia Wright",44,"40-49","VIP","2013-01-09",149,2,5873.0,2.0,2,17,2936.5,345.0
131,"AW00011130","Caroline Russell",40,"40-49","New","2013-12-09",138,1,37.0,2.0,2,0,37.0,37.0
132,"AW00011131","Amanda Rivera",39,"30-39","New","2014-01-23",137,5,166.0,9.0,9,3,33.2,55.0
133,"AW00011132","Melissa Richardson",39,"30-39","New","2013-04-09",146,1,2372.0,6.0,6,0,2372.0,2372.0
134,"AW00011133","Angela Griffin",39,"30-39","New","2013-12-30",138,1,72.0,4.0,4,0,72.0,72.0
135,"AW00011134","Larry Townsend",68,"50 and above","Regular","2013-11-03",140,3,4911.0,3.0,3,30,1637.0,164.0
136,"AW00011135","Marcus Harris",40,"40-49","New","2013-04-18",146,1,2335.0,3.0,3,0,2335.0,2335.0
137,"AW00011136","Brianna Morgan",41,"40-49","New","2013-01-03",150,1,2381.0,3.0,3,0,2381.0,2381.0
138,"AW00011137","Jasmine Taylor",41,"40-49","New","2014-01-20",137,2,202.0,5.0,4,5,101.0,40.0
139,"AW00011138","Lauren Davis",41,"40-49","New","2013-12-31",138,2,79.0,4.0,4,3,39.5,26.0
140,"AW00011139","Tanya Moreno",75,"50 and above","New","2013-10-17",140,2,84.0,3.0,3,1,42.0,84.0
141,"AW00011140","Javier Alvarez",42,"40-49","New","2013-03-19",147,1,40.0,2.0,2,0,40.0,40.0
142,"AW00011141","Nicole Ramirez",42,"40-49","New","2013-09-28",141,2,114.0,5.0,5,4,57.0,29.0
143,"AW00011142","Eduardo Patterson",42,"40-49","New","2014-01-13",137,17,979.0,36.0,23,11,57.5882,89.0
144,"AW00011143","Jonathan Henderson",42,"40-49","New","2013-12-19",138,2,48.0,5.0,4,6,24.0,8.0
145,"AW00011144","Edward Hernandez",40,"40-49","New","2013-01-25",149,1,2400.0,3.0,3,0,2400.0,2400.0
146,"AW00011145","Jasmine Coleman",40,"40-49","New","2013-01-25",149,1,2310.0,3.0,3,0,2310.0,2310.0
147,"AW00011146","Karla Goel",80,"50 and above","New","2013-09-15",141,3,113.0,7.0,6,7,37.6667,16.0
148,"AW00011147","Ernest Wu",80,"50 and above","VIP","2013-10-16",140,3,8195.0,7.0,7,29,2731.6667,283.0
149,"AW00011148","Ross Vazquez",78,"50 and above","New","2013-12-03",139,3,126.0,6.0,5,8,42.0,16.0
150,"AW00011149","Theodore Gill",78,"50 and above","New","2013-11-29",139,3,41.0,4.0,4,5,13.6667,8.0
151,"AW00011150","Russell Shen",78,"50 and above","New","2013-07-15",143,3,192.0,8.0,7,3,64.0,64.0
152,"AW00011151","Melinda Gill",77,"50 and above","VIP","2013-10-20",140,3,8087.0,6.0,6,29,2695.6667,279.0
153,"AW00011152","James Williams",43,"40-49","New","2013-01-09",149,1,2295.0,1.0,1,0,2295.0,2295.0
154,"AW00011153","Angela James",43,"40-49","New","2013-03-29",147,2,110.0,5.0,5,0,55.0,110.0
155,"AW00011154","Megan Walker",43,"40-49","New","2013-01-10",149,1,2320.0,1.0,1,0,2320.0,2320.0
156,"AW00011155","Hunter Robinson",43,"40-49","New","2013-01-06",149,1,2320.0,1.0,1,0,2320.0,2320.0
157,"AW00011156","Maria Roberts",43,"40-49","New","2013-01-08",149,1,2390.0,4.0,4,0,2390.0,2390.0
158,"AW00011157","Hannah Long",44,"40-49","New","2013-09-11",141,2,41.0,3.0,3,1,20.5,41.0
159,"AW00011158","Jason Wright",44,"40-49","New","2013-01-19",149,1,2396.0,3.0,3,0,2396.0,2396.0
160,"AW00011159","Brianna Hughes",44,"40-49","New","2013-11-07",139,2,48.0,5.0,4,1,24.0,48.0
161,"AW00011160","Maurice Tang",45,"40-49","New","2013-02-21",148,1,2322.0,2.0,2,0,2322.0,2322.0
162,"AW00011161","Emily Wood",45,"40-49","New","2013-11-11",139,2,94.0,6.0,6,5,47.0,19.0
163,"AW00011162","Chase Cox",45,"40-49","New","2013-02-18",148,1,2330.0,2.0,2,0,2330.0,2330.0
164,"AW00011163","Gabriel Wang",45,"40-49","New","2013-08-05",143,2,46.0,4.0,4,3,23.0,15.0
165,"AW00011164","Devin Brooks",45,"40-49","New","2013-08-05",143,2,145.0,6.0,6,3,72.5,48.0
166,"AW00011165","Jocelyn Alexander",46,"40-49","New","2013-06-05",145,2,103.0,3.0,3,0,51.5,103.0
167,"AW00011166","Ashley Martinez",47,"40-49","New","2013-12-06",138,2,88.0,5.0,5,1,44.0,88.0
168,"AW00011167","Jasmine Barnes",47,"40-49","New","2013-11-28",139,2,3126.0,4.0,4,10,1563.0,313.0
169,"AW00011168","David Rodriguez",51,"50 and above","New","2013-11-16",139,2,3136.0,7.0,7,10,1568.0,314.0
170,"AW00011169","Bryce Richardson",51,"50 and above","New","2013-09-24",141,2,81.0,5.0,5,3,40.5,27.0
171,"AW00011170","Carol Howard",51,"50 and above","New","2013-12-29",138,2,157.0,7.0,7,4,78.5,39.0
172,"AW00011171","Jonathan Hill",46,"40-49","VIP","2013-11-07",139,3,6716.0,8.0,8,26,2238.6667,258.0
173,"AW00011172","Gabrielle Adams",52,"50 and above","New","2014-01-11",137,2,129.0,7.0,6,8,64.5,16.0
174,"AW00011173","Sarah Thomas",52,"50 and above","New","2013-12-24",138,2,103.0,3.0,3,9,51.5,11.0
175,"AW00011174","Nicholas Robinson",52,"50 and above","New","2013-07-25",143,2,48.0,5.0,4,0,24.0,48.0
176,"AW00011175","Luis Wang",56,"50 and above","VIP","2013-11-03",140,3,6710.0,8.0,8,26,2236.6667,258.0
177,"AW00011176","Mason Roberts",46,"40-49","New","2014-01-27",137,28,1317.0,60.0,27,11,47.0357,120.0
178,"AW00011177","Jose Flores",77,"50 and above","New","2013-10-14",140,2,135.0,6.0,6,6,67.5,23.0
179,"AW00011178","Nathan Johnson",70,"50 and above","New","2013-05-26",145,2,145.0,6.0,6,3,72.5,48.0
180,"AW00011179","Molly Rodriguez",65,"50 and above","New","2014-01-09",137,2,125.0,6.0,6,9,62.5,14.0
181,"AW00011180","April Anand",77,"50 and above","New","2013-09-25",141,2,138.0,6.0,6,6,69.0,23.0
182,"AW00011181","Devin Martin",65,"50 and above","New","2013-07-11",143,2,41.0,3.0,3,2,20.5,21.0
183,"AW00011182","Stephanie Torres",75,"50 and above","New","2014-01-05",138,2,81.0,5.0,5,4,40.5,20.0
184,"AW00011183","Jasmine Lee",75,"50 and above","New","2013-06-13",144,2,46.0,4.0,4,1,23.0,46.0
185,"AW00011184","Meghan Hernandez",69,"50 and above","New","2013-10-09",140,2,68.0,5.0,5,1,34.0,68.0
186,"AW00011185","Ashley Henderson",75,"50 and above","New","2014-01-26",137,27,1616.0,68.0,29,11,59.8519,147.0
187,"AW00011186","Sarah Price",75,"50 and above","New","2014-01-07",137,2,41.0,3.0,3,2,20.5,21.0
188,"AW00011187","Jennifer Cooper",75,"50 and above","New","2013-08-06",142,2,108.0,4.0,4,4,54.0,27.0
189,"AW00011188","Catherine Morris",75,"50 and above","New","2014-01-21",137,2,81.0,5.0,5,2,40.5,41.0
190,"AW00011189","Lawrence Blanco",75,"50 and above","VIP","2013-02-05",149,2,5944.0,6.0,6,17,2972.0,350.0
191,"AW00011190","Carson Bryant",75,"50 and above","New","2014-01-16",137,2,46.0,4.0,4,4,23.0,12.0
192,"AW00011191","Kristi Perez",74,"50 and above","VIP","2013-11-06",139,3,6743.0,7.0,7,26,2247.6667,259.0
193,"AW00011192","James Brown",74,"50 and above","New","2013-09-25",141,2,114.0,5.0,5,3,57.0,38.0
194,"AW00011193","Ian Gray",74,"50 and above","New","2013-08-18",142,2,41.0,3.0,3,5,20.5,8.0
195,"AW00011194","Jacqueline Price",74,"50 and above","New","2013-12-08",138,2,105.0,6.0,6,8,52.5,13.0
196,"AW00011195","Megan Henderson",73,"50 and above","New","2013-10-22",140,2,105.0,6.0,6,6,52.5,18.0
197,"AW00011196","Alfredo Romero",73,"50 and above","New","2013-09-24",141,2,162.0,4.0,4,6,81.0,27.0
198,"AW00011197","Andrea Morris",73,"50 and above","New","2013-07-20",143,2,207.0,6.0,5,2,103.5,104.0
199,"AW00011198","Brooke Sanders",73,"50 and above","New","2013-02-13",148,2,98.0,4.0,4,0,49.0,98.0
200,"AW00011199","Jacqueline Bennett",67,"50 and above","New","2013-10-17",140,2,132.0,6.0,6,6,66.0,22.0
201,"AW00011200","Jason Griffin",72,"50 and above","New","2014-01-20",137,27,1461.0,55.0,26,11,54.1111,133.0
202,"AW00011201","Amanda Foster",72,"50 and above","New","2013-09-09",141,2,181.0,6.0,6,2,90.5,91.0
203,"AW00011202","Alexia Price",66,"50 and above","New","2013-09-21",141,2,74.0,3.0,3,0,37.0,74.0
204,"AW00011203","Luis Diaz",65,"50 and above","New","2013-12-11",138,17,800.0,32.0,19,9,47.0588,89.0
205,"AW00011204","Destiny Rivera",71,"50 and above","New","2013-11-10",139,2,77.0,4.0,4,3,38.5,26.0
206,"AW00011205","Abby Fernandez",71,"50 and above","New","2013-10-08",140,2,37.0,2.0,2,2,18.5,19.0
207,"AW00011206","Blake Flores",71,"50 and above","New","2013-05-30",145,2,77.0,4.0,4,0,38.5,77.0
208,"AW00011207","Danielle Cox",71,"50 and above","New","2013-10-18",140,2,77.0,4.0,4,8,38.5,10.0
209,"AW00011208","Maria Reed",71,"50 and above","New","2013-09-17",141,2,134.0,7.0,7,6,67.0,22.0
210,"AW00011209","Allison Evans",71,"50 and above","New","2014-01-22",137,2,37.0,2.0,2,9,18.5,4.0
211,"AW00011210","Edward Wood",71,"50 and above","New","2013-09-06",141,2,70.0,5.0,5,4,35.0,18.0
212,"AW00011211","Samantha Russell",64,"50 and above","New","2014-01-07",137,17,792.0,33.0,22,11,46.5882,72.0
213,"AW00011212","Chloe Campbell",70,"50 and above","New","2014-01-17",137,17,824.0,33.0,20,11,48.4706,75.0
214,"AW00011213","Stephanie Murphy",70,"50 and above","New","2013-09-09",141,2,77.0,4.0,4,5,38.5,15.0
215,"AW00011214","Charles Miller",70,"50 and above","New","2013-11-19",139,2,162.0,4.0,4,3,81.0,54.0
216,"AW00011215","Ana Perry",64,"50 and above","New","2013-12-15",138,17,1154.0,32.0,21,10,67.8824,115.0
217,"AW00011216","Jasmine Torres",69,"50 and above","VIP","2013-02-05",149,2,5948.0,5.0,5,17,2974.0,350.0
218,"AW00011217","Natalie Adams",69,"50 and above","VIP","2013-02-14",148,2,5953.0,3.0,3,18,2976.5,331.0
219,"AW00011218","Olivia Brown",63,"50 and above","New","2014-01-04",138,2,39.0,3.0,2,10,19.5,4.0
220,"AW00011219","Charles Cook",69,"50 and above","New","2014-01-24",137,2,39.0,3.0,2,2,19.5,20.0
221,"AW00011220","Erica Huang",64,"50 and above","New","2013-12-13",138,2,50.0,4.0,4,8,25.0,6.0
222,"AW00011221","Nathan Perry",69,"50 and above","New","2013-10-17",140,2,46.0,4.0,4,6,23.0,8.0
223,"AW00011222","Alexandra Rivera",69,"50 and above","New","2013-11-28",139,2,208.0,6.0,6,0,104.0,208.0
224,"AW00011223","Hailey Patterson",68,"50 and above","New","2014-01-06",137,27,1293.0,65.0,26,11,47.8889,118.0
225,"AW00011224","Tiffany Li",68,"50 and above","VIP","2013-12-03",139,3,6685.0,5.0,5,27,2228.3333,248.0
226,"AW00011225","Madison Lee",63,"50 and above","New","2013-09-06",141,2,73.0,5.0,5,2,36.5,37.0
227,"AW00011226","Sydney Ross",62,"50 and above","New","2013-03-31",147,2,37.0,2.0,2,1,18.5,37.0
228,"AW00011227","Marshall Chavez",62,"50 and above","VIP","2013-02-10",148,2,5910.0,5.0,5,18,2955.0,328.0
229,"AW00011228","Ashley Jones",68,"50 and above","New","2014-01-17",137,2,77.0,4.0,4,2,38.5,39.0
